IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,LCA,Saint Lucia,Year,2016,TRUE,Residence Area Type,Urban,URB,22.94,11.96,50.09,22.94 [11.96 – 50.09],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2016,TRUE,Residence Area Type,Urban,URB,23.09,11.64,56.45,23.09 [11.64 – 56.45],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GRD,Grenada,Year,2016,TRUE,Residence Area Type,Urban,URB,23.14,11.96,57.76,23.14 [11.96 – 57.76],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GUY,Guyana,Year,2016,TRUE,Residence Area Type,Total,TOTL,23.14,9.89,56.91,23.14 [9.89 – 56.91],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,TRUE,Residence Area Type,Urban,URB,23.21,13.35,42.03,23.21 [13.35 – 42.03],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2016,TRUE,Residence Area Type,Total,TOTL,23.32,10.5,61.15,23.32 [10.5 – 61.15],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,PHL,Philippines,Year,2016,TRUE,Residence Area Type,Urban,URB,23.72,21.72,26.81,23.72 [21.72 – 26.81],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2016,TRUE,Residence Area Type,Urban,URB,23.75,19.57,27.58,23.75 [19.57 – 27.58],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,TRUE,Residence Area Type,Total,TOTL,23.88,16.88,40.44,23.88 [16.88 – 40.44],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BRB,Barbados,Year,2016,TRUE,Residence Area Type,Rural,RUR,23.89,11.48,50.78,23.89 [11.48 – 50.78],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SRB,Serbia,Year,2016,TRUE,Residence Area Type,Rural,RUR,23.9,21.38,26.89,23.9 [21.38 – 26.89],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,CHL,Chile,Year,2016,TRUE,Residence Area Type,Total,TOTL,23.92,21.89,25.43,23.92 [21.89 – 25.43],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,UZB,Uzbekistan,Year,2016,TRUE,Residence Area Type,Rural,RUR,23.97,14.79,51.78,23.97 [14.79 – 51.78],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,NAM,Namibia,Year,2016,TRUE,Residence Area Type,Total,TOTL,24.05,15.59,39.55,24.05 [15.59 – 39.55],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2016,TRUE,Residence Area Type,Urban,URB,24.07,18.48,36.47,24.07 [18.48 – 36.47],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,LSO,Lesotho,Year,2016,TRUE,Residence Area Type,Rural,RUR,24.28,17.92,36.11,24.28 [17.92 – 36.11],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2016,TRUE,Residence Area Type,Urban,URB,24.41,10.91,62.19,24.41 [10.91 – 62.19],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,LSO,Lesotho,Year,2016,TRUE,Residence Area Type,Total,TOTL,24.49,18.16,36.49,24.49 [18.16 – 36.49],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2016,TRUE,Residence Area Type,Rural,RUR,24.51,16.4,38.11,24.51 [16.4 – 38.11],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2016,TRUE,Residence Area Type,Urban,URB,24.56,14.63,43.73,24.56 [14.63 – 43.73],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2016,TRUE,Residence Area Type,Urban,URB,24.57,17.5,36.75,24.57 [17.5 – 36.75],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,MWI,Malawi,Year,2016,TRUE,Residence Area Type,Urban,URB,24.63,14.3,46.92,24.63 [14.3 – 46.92],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BRB,Barbados,Year,2016,TRUE,Residence Area Type,Total,TOTL,24.82,12.38,53.12,24.82 [12.38 – 53.12],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SRB,Serbia,Year,2016,TRUE,Residence Area Type,Total,TOTL,24.85,22.81,28.12,24.85 [22.81 – 28.12],,,EN,2021-05-06T23:00:00.000Z
