timestamp,open,high,low,close,volume
2021-10-21 20:00:00,128.8400,128.8500,128.8400,128.8400,2531
2021-10-21 19:55:00,128.7200,128.8500,128.7000,128.7000,2621
2021-10-21 19:50:00,128.8400,128.8400,128.8400,128.8400,318
2021-10-21 19:45:00,128.8000,128.8400,128.7000,128.8400,1878
2021-10-21 19:40:00,128.7000,128.7000,128.7000,128.7000,4660
2021-10-21 19:35:00,128.6000,128.6800,128.6000,128.6800,1611
2021-10-21 19:30:00,128.5500,128.5500,128.5500,128.5500,134
2021-10-21 19:20:00,128.7000,128.7800,128.7000,128.7800,711
2021-10-21 19:15:00,128.6600,128.8000,128.6600,128.6600,1185
2021-10-21 19:10:00,128.6600,128.6600,128.6600,128.6600,184
2021-10-21 19:05:00,128.7000,128.7000,128.6600,128.6600,902
2021-10-21 19:00:00,128.6600,128.6600,128.6600,128.6600,253
2021-10-21 18:55:00,128.6600,128.6900,128.6600,128.6900,1421
2021-10-21 18:50:00,128.4500,128.4500,128.4400,128.4400,891
2021-10-21 18:45:00,128.5500,128.5500,128.4500,128.4500,1616
2021-10-21 18:40:00,128.5500,128.5500,128.5500,128.5500,222
2021-10-21 18:30:00,128.6400,128.6400,128.6400,128.6400,514
2021-10-21 18:20:00,128.4600,128.6600,128.4600,128.6600,913
2021-10-21 18:15:00,128.5000,128.5000,128.4900,128.4900,799
2021-10-21 18:05:00,128.5100,128.5199,128.5100,128.5199,1860
2021-10-21 18:00:00,128.5000,128.5500,128.5000,128.5500,1318
2021-10-21 17:55:00,128.6300,128.6300,128.5000,128.5200,2460
2021-10-21 17:50:00,128.5100,128.6600,128.5100,128.6300,570
2021-10-21 17:40:00,128.5700,128.5700,128.5700,128.5700,280
2021-10-21 17:35:00,128.5000,128.5000,128.4601,128.4601,1788
2021-10-21 17:30:00,128.5800,128.5800,128.5800,128.5800,2075
2021-10-21 17:25:00,128.6000,128.6500,128.6000,128.6000,1671
2021-10-21 17:20:00,128.6499,128.6500,128.6100,128.6100,1087
2021-10-21 17:15:00,128.6001,128.6600,128.6001,128.6100,742
2021-10-21 17:10:00,128.5900,128.5900,128.5600,128.5600,1507
2021-10-21 17:05:00,128.8000,128.8000,128.5900,128.5900,2499
2021-10-21 17:00:00,128.7500,128.8000,128.7500,128.8000,4575
2021-10-21 16:55:00,128.7300,128.7300,128.6800,128.7000,2606
2021-10-21 16:50:00,128.6500,128.6800,128.6000,128.6700,2532
2021-10-21 16:45:00,128.6100,128.6500,128.6100,128.6500,854
2021-10-21 16:40:00,128.5000,128.6800,128.5000,128.6800,3340
2021-10-21 16:35:00,128.5600,128.6800,128.5000,128.6800,4934
2021-10-21 16:30:00,128.4000,128.6500,128.3500,128.6500,5337
2021-10-21 16:25:00,128.6500,128.6500,128.4000,128.4000,13135
2021-10-21 16:20:00,128.7000,129.1992,128.3500,128.3700,30778
2021-10-21 16:15:00,128.9800,129.2100,128.3300,128.7500,39678
2021-10-21 16:10:00,128.4500,129.2600,128.4000,128.9800,50767
2021-10-21 16:05:00,128.3300,128.5400,128.3000,128.4500,415716
2021-10-21 16:00:00,128.3950,128.4900,128.2500,128.3100,1045660
2021-10-21 15:55:00,128.5800,128.6300,128.3592,128.3800,512037
2021-10-21 15:50:00,128.4150,128.6900,128.1000,128.6000,746164
2021-10-21 15:45:00,129.5800,129.5800,128.4100,128.4150,797520
2021-10-21 15:40:00,129.6700,129.7700,129.5900,129.6000,230282
2021-10-21 15:35:00,129.7350,129.7668,129.4700,129.6700,219030
2021-10-21 15:30:00,129.8900,129.9000,129.6406,129.7350,206843
2021-10-21 15:25:00,129.7100,129.9500,129.6800,129.8900,241860
2021-10-21 15:20:00,129.4150,129.7500,129.4001,129.7100,243329
