country,code,percentage,co2_2018
Togo,TGO,1.872578562,0.28647138899999997
Tonga,TON,0.0,1.841103111
Trinidad and Tobago,TTO,0.057658155999999995,12.77844012
Tunisia,TUN,3.297679286,2.592258865
Turkey,TUR,33.29701391,5.01541837
Turkmenistan,TKM,0.014160963,12.25964817
Uganda,UGA,93.83620399,0.143462178
Ukraine,UKR,61.95643132,4.154180631
United Arab Emirates,ARE,1.024073706,20.7974984
United Kingdom,GBR,52.76387833,5.398708138
United States,USA,36.57491888,15.24087458
Uruguay,URY,97.64598395,1.8902440790000001
Uzbekistan,UZB,9.835866256000001,3.401191282
Vanuatu,VUT,14.40310431,0.6150166570000001
Vietnam,VNM,36.37596135,2.698805922
World,OWID_WRL,36.48908739,4.477639096
Zambia,ZMB,85.31856947,0.44606544299999995
Zimbabwe,ZWE,56.94720914,0.849792905
