,year,Type,%
142,2002,Nuclear (% electricity),22.84180392922918
143,2002,Other renewables (% electricity),1.3206628266739642
144,2003,Coal (% electricity),34.97263173154002
145,2003,Gas (% electricity),37.64694251707032
146,2003,Hydro (% electricity),0.8161373961353549
147,2003,Solar (% electricity),0.0007446903615153827
148,2003,Wind (% electricity),0.32502130939687623
149,2003,Oil (% electricity),2.269463473832913
150,2003,Nuclear (% electricity),22.425673820493536
151,2003,Other renewables (% electricity),1.5433850611694706
152,2004,Coal (% electricity),33.681340284465996
153,2004,Gas (% electricity),40.141437094269975
154,2004,Hydro (% electricity),1.2378761499793989
155,2004,Solar (% electricity),0.001023566393292912
156,2004,Wind (% electricity),0.49455124556836
157,2004,Oil (% electricity),2.11847651427294
158,2004,Nuclear (% electricity),20.445515080409404
159,2004,Other renewables (% electricity),1.8797800646406329
160,2005,Coal (% electricity),34.04870392746263
161,2005,Gas (% electricity),38.601529798553855
162,2005,Hydro (% electricity),1.244558183856492
163,2005,Solar (% electricity),0.002067397183590001
164,2005,Wind (% electricity),0.7343728614372521
165,2005,Oil (% electricity),2.4260130833542712
166,2005,Nuclear (% electricity),20.64059000981636
167,2005,Other renewables (% electricity),2.302164738335557
168,2006,Coal (% electricity),37.83382081476466
169,2006,Gas (% electricity),35.79483585960146
170,2006,Hydro (% electricity),1.1673593005192722
171,2006,Solar (% electricity),0.002718392432743756
172,2006,Wind (% electricity),1.0738992148799724
173,2006,Oil (% electricity),2.5914761675116784
174,2006,Nuclear (% electricity),19.177693075544568
175,2006,Other renewables (% electricity),2.3581971747456416
176,2007,Coal (% electricity),34.593954297998096
177,2007,Gas (% electricity),42.18938147727389
178,2007,Hydro (% electricity),1.2920226748541168
179,2007,Solar (% electricity),0.0035625831047259803
180,2007,Wind (% electricity),1.3420296360142687
181,2007,Oil (% electricity),2.1672335597343872
182,2007,Nuclear (% electricity),16.038749137476362
183,2007,Other renewables (% electricity),2.3730666335441435
184,2008,Coal (% electricity),32.321185617028306
185,2008,Gas (% electricity),45.79124799606946
186,2008,Hydro (% electricity),1.335943464872052
187,2008,Solar (% electricity),0.004417521470063846
188,2008,Wind (% electricity),1.8505582110056724
189,2008,Oil (% electricity),2.571843321011573
190,2008,Nuclear (% electricity),13.638707757515943
191,2008,Other renewables (% electricity),2.4860961110271846
192,2009,Coal (% electricity),27.618686565787854
193,2009,Gas (% electricity),44.62944082724761
194,2009,Hydro (% electricity),1.4013235381102649
195,2009,Solar (% electricity),0.005360925990816475
196,2009,Wind (% electricity),2.487730200741998
197,2009,Oil (% electricity),2.463624528977989
198,2009,Nuclear (% electricity),18.52146320567184
199,2009,Other renewables (% electricity),2.872370207471891
200,2010,Coal (% electricity),28.394953444524326
201,2010,Gas (% electricity),46.35655475532536
202,2010,Hydro (% electricity),0.9477819223555553
203,2010,Solar (% electricity),0.010629436026963462
204,2010,Wind (% electricity),2.7144661314491265
205,2010,Oil (% electricity),1.9397405166156092
206,2010,Nuclear (% electricity),16.399263964930597
207,2010,Other renewables (% electricity),3.2366098287724445
208,2011,Coal (% electricity),29.703784526804533
209,2011,Gas (% electricity),40.128130515781116
210,2011,Hydro (% electricity),1.5589293466688463
211,2011,Solar (% electricity),0.0667317561256125
212,2011,Wind (% electricity),4.372480242643107
213,2011,Oil (% electricity),1.6281986423073471
214,2011,Nuclear (% electricity),18.894589334934587
215,2011,Other renewables (% electricity),3.647155634735102
216,2012,Coal (% electricity),39.564451395420825
217,2012,Gas (% electricity),27.75465951607785
218,2012,Hydro (% electricity),1.4711507312916432
219,2012,Solar (% electricity),0.3750910484165956
220,2012,Wind (% electricity),5.499152575462293
221,2012,Oil (% electricity),1.7441615994255852
222,2012,Nuclear (% electricity),19.50750527332995
223,2012,Other renewables (% electricity),4.083827860575514
224,2013,Coal (% electricity),36.65233724993475
225,2013,Gas (% electricity),26.96876144119315
226,2013,Hydro (% electricity),1.3228914292950895
227,2013,Solar (% electricity),0.5656270218463698
228,2013,Wind (% electricity),7.990488654187242
229,2013,Oil (% electricity),1.5375173886297162
230,2013,Nuclear (% electricity),19.86773514057703
231,2013,Other renewables (% electricity),5.094641674336897
232,2014,Coal (% electricity),29.90270367407789
233,2014,Gas (% electricity),30.097801073322174
234,2014,Hydro (% electricity),1.7563950630454013
235,2014,Solar (% electricity),1.2093920723275615
236,2014,Wind (% electricity),9.533914401403887
237,2014,Oil (% electricity),1.7343231036070457
238,2014,Nuclear (% electricity),19.01692508719278
239,2014,Other renewables (% electricity),6.748545525023527
240,2015,Coal (% electricity),22.62678029177876
241,2015,Gas (% electricity),29.78270781945523
242,2015,Hydro (% electricity),1.877836710963118
243,2015,Solar (% electricity),2.2462893927339733
244,2015,Wind (% electricity),12.009864254159028
245,2015,Oil (% electricity),1.98962330946302
246,2015,Nuclear (% electricity),20.976750303139767
247,2015,Other renewables (% electricity),8.490147918307306
248,2016,Coal (% electricity),9.159714786603631
249,2016,Gas (% electricity),42.81580488131356
250,2016,Hydro (% electricity),1.610985789882653
251,2016,Solar (% electricity),3.108507784192814
252,2016,Wind (% electricity),11.096975442283194
253,2016,Oil (% electricity),2.2285057025995774
254,2016,Nuclear (% electricity),21.422251623585147
255,2016,Other renewables (% electricity),8.557253989539698
256,2017,Coal (% electricity),6.76119933036584
257,2017,Gas (% electricity),41.036284308380104
258,2017,Hydro (% electricity),1.7710094177595288
259,2017,Solar (% electricity),3.443688391438517
260,2017,Wind (% electricity),14.894467385353947
261,2017,Oil (% electricity),1.9747476683520957
262,2017,Nuclear (% electricity),21.10737699018043
263,2017,Other renewables (% electricity),9.011226508169813
264,2018,Coal (% electricity),5.1277084216676165
265,2018,Gas (% electricity),40.058527040835216
266,2018,Hydro (% electricity),1.6724699126492657
267,2018,Solar (% electricity),3.9170081713347584
268,2018,Wind (% electricity),17.335863368614113
269,2018,Oil (% electricity),2.049886211079133
270,2018,Nuclear (% electricity),19.821783522242715
271,2018,Other renewables (% electricity),10.016753351577416
272,2019,Coal (% electricity),2.172389805070039
273,2019,Gas (% electricity),41.086135785167116
274,2019,Hydro (% electricity),1.833483941055772
275,2019,Solar (% electricity),4.059255892554963
276,2019,Wind (% electricity),20.195391705580622
277,2019,Oil (% electricity),2.1245472714083635
278,2019,Nuclear (% electricity),17.894718676313357
279,2019,Other renewables (% electricity),10.634076922850037
280,2020,Coal (% electricity),1.7411054746689574
281,2020,Gas (% electricity),36.55035212071639
282,2020,Hydro (% electricity),2.159324113910828
283,2020,Solar (% electricity),4.3714588481874515
284,2020,Wind (% electricity),24.150983695881052
285,2020,Oil (% electricity),2.4501224183861803
286,2020,Nuclear (% electricity),16.96283039802891
287,2020,Other renewables (% electricity),11.613822930220525
