,year,Type,%
171,2006,Solar ,0.002718392432743756
172,2006,Wind ,1.0738992148799724
173,2006,Oil ,2.5914761675116784
174,2006,Nuclear ,19.177693075544568
175,2006,Other renewables ,2.3581971747456416
176,2007,Coal ,34.593954297998096
177,2007,Gas ,42.18938147727389
178,2007,Hydro ,1.2920226748541168
179,2007,Solar ,0.0035625831047259803
180,2007,Wind ,1.3420296360142687
181,2007,Oil ,2.1672335597343872
182,2007,Nuclear ,16.038749137476362
183,2007,Other renewables ,2.3730666335441435
184,2008,Coal ,32.321185617028306
185,2008,Gas ,45.79124799606946
186,2008,Hydro ,1.335943464872052
187,2008,Solar ,0.004417521470063846
188,2008,Wind ,1.8505582110056724
189,2008,Oil ,2.571843321011573
190,2008,Nuclear ,13.638707757515943
191,2008,Other renewables ,2.4860961110271846
192,2009,Coal ,27.618686565787854
193,2009,Gas ,44.62944082724761
194,2009,Hydro ,1.4013235381102649
195,2009,Solar ,0.005360925990816475
196,2009,Wind ,2.487730200741998
197,2009,Oil ,2.463624528977989
198,2009,Nuclear ,18.52146320567184
199,2009,Other renewables ,2.872370207471891
200,2010,Coal ,28.394953444524326
201,2010,Gas ,46.35655475532536
202,2010,Hydro ,0.9477819223555553
203,2010,Solar ,0.010629436026963462
204,2010,Wind ,2.7144661314491265
205,2010,Oil ,1.9397405166156092
206,2010,Nuclear ,16.399263964930597
207,2010,Other renewables ,3.2366098287724445
208,2011,Coal ,29.703784526804533
209,2011,Gas ,40.128130515781116
210,2011,Hydro ,1.5589293466688463
211,2011,Solar ,0.0667317561256125
212,2011,Wind ,4.372480242643107
213,2011,Oil ,1.6281986423073471
214,2011,Nuclear ,18.894589334934587
215,2011,Other renewables ,3.647155634735102
216,2012,Coal ,39.564451395420825
217,2012,Gas ,27.75465951607785
218,2012,Hydro ,1.4711507312916432
219,2012,Solar ,0.3750910484165956
220,2012,Wind ,5.499152575462293
221,2012,Oil ,1.7441615994255852
222,2012,Nuclear ,19.50750527332995
223,2012,Other renewables ,4.083827860575514
