Haiti,HTI,GDP per capita (current US$),1479.345827
Hungary,HUN,GDP per capita (current US$),16427.37276
IBRD only,IBD,GDP per capita (current US$),6366.562673
IDA & IBRD total,IBT,GDP per capita (current US$),5080.698096
IDA total,IDA,GDP per capita (current US$),1313.082411
IDA blend,IDB,GDP per capita (current US$),1759.496365
Indonesia,IDN,GDP per capita (current US$),3893.859578
IDA only,IDX,GDP per capita (current US$),1087.030501
Isle of Man,IMN,GDP per capita (current US$),89112.66772
India,IND,GDP per capita (current US$),1996.915087
Not classified,INX,GDP per capita (current US$),
Ireland,IRL,GDP per capita (current US$),79068.97461
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),3598.483454
Iraq,IRQ,GDP per capita (current US$),5915.850854
Iceland,ISL,GDP per capita (current US$),74469.80406
Israel,ISR,GDP per capita (current US$),42063.45313
Italy,ITA,GDP per capita (current US$),34605.26273
Jamaica,JAM,GDP per capita (current US$),5359.993789
Jordan,JOR,GDP per capita (current US$),4308.151074
Japan,JPN,GDP per capita (current US$),39808.16856
Kazakhstan,KAZ,GDP per capita (current US$),9812.626371
Kenya,KEN,GDP per capita (current US$),1794.091175
Kyrgyz Republic,KGZ,GDP per capita (current US$),1308.140165
Cambodia,KHM,GDP per capita (current US$),1512.126989
Kiribati,KIR,GDP per capita (current US$),1727.845001
St. Kitts and Nevis,KNA,GDP per capita (current US$),20567.49911
"Korea, Rep.",KOR,GDP per capita (current US$),33422.94421
Kuwait,KWT,GDP per capita (current US$),33399.06044
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),8408.174698
Lao PDR,LAO,GDP per capita (current US$),2569.093892
Lebanon,LBN,GDP per capita (current US$),8058.444337
Liberia,LBR,GDP per capita (current US$),710.2659984
Libya,LBY,GDP per capita (current US$),7877.12461
St. Lucia,LCA,GDP per capita (current US$),11353.71521
Latin America & Caribbean,LCN,GDP per capita (current US$),8905.581337
Least developed countries: UN classification,LDC,GDP per capita (current US$),1051.891471
Low income,LIC,GDP per capita (current US$),672.4827671
Liechtenstein,LIE,GDP per capita (current US$),180366.7152
Sri Lanka,LKA,GDP per capita (current US$),4059.20823
Lower middle income,LMC,GDP per capita (current US$),2267.546848
Low & middle income,LMY,GDP per capita (current US$),4932.959732
Lesotho,LSO,GDP per capita (current US$),1192.48432
Late-demographic dividend,LTE,GDP per capita (current US$),9800.462485
Lithuania,LTU,GDP per capita (current US$),19176.81215
Luxembourg,LUX,GDP per capita (current US$),117197.4817
Latvia,LVA,GDP per capita (current US$),17856.30712
"Macao SAR, China",MAC,GDP per capita (current US$),87526.07999
St. Martin (French part),MAF,GDP per capita (current US$),
Morocco,MAR,GDP per capita (current US$),3226.982794
Monaco,MCO,GDP per capita (current US$),185978.6093
Moldova,MDA,GDP per capita (current US$),4230.363037
Madagascar,MDG,GDP per capita (current US$),523.9459714
Maldives,MDV,GDP per capita (current US$),10279.07998
Middle East & North Africa,MEA,GDP per capita (current US$),7476.079338
Mexico,MEX,GDP per capita (current US$),9686.984927
Marshall Islands,MHL,GDP per capita (current US$),3793.550983
Middle income,MIC,GDP per capita (current US$),5401.503494
North Macedonia,MKD,GDP per capita (current US$),6108.740108
Mali,MLI,GDP per capita (current US$),894.8047765
Malta,MLT,GDP per capita (current US$),30672.29224
Myanmar,MMR,GDP per capita (current US$),1250.173691
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),3447.444185
Montenegro,MNE,GDP per capita (current US$),8845.914219
Mongolia,MNG,GDP per capita (current US$),4156.84697
Northern Mariana Islands,MNP,GDP per capita (current US$),22886.67405
Mozambique,MOZ,GDP per capita (current US$),503.3179252
Mauritania,MRT,GDP per capita (current US$),1670.204165
Mauritius,MUS,GDP per capita (current US$),11208.34382
Malawi,MWI,GDP per capita (current US$),544.5934354
Malaysia,MYS,GDP per capita (current US$),11380.08209
North America,NAC,GDP per capita (current US$),61381.71985
Namibia,NAM,GDP per capita (current US$),5588.392864
New Caledonia,NCL,GDP per capita (current US$),36382.48766
Niger,NER,GDP per capita (current US$),570.723922
Nigeria,NGA,GDP per capita (current US$),2027.778549
Nicaragua,NIC,GDP per capita (current US$),2014.575189
Netherlands,NLD,GDP per capita (current US$),53018.62936
Norway,NOR,GDP per capita (current US$),82267.80932
Nepal,NPL,GDP per capita (current US$),1178.525932
Nauru,NRU,GDP per capita (current US$),11614.66508
New Zealand,NZL,GDP per capita (current US$),43306.07
OECD members,OED,GDP per capita (current US$),39370.27641
Oman,OMN,GDP per capita (current US$),16521.20623
Other small states,OSS,GDP per capita (current US$),14354.44671
Pakistan,PAK,GDP per capita (current US$),1482.213067
Panama,PAN,GDP per capita (current US$),15544.99908
Peru,PER,GDP per capita (current US$),6957.793411
Philippines,PHL,GDP per capita (current US$),3252.110274
Palau,PLW,GDP per capita (current US$),15895.2599
Papua New Guinea,PNG,GDP per capita (current US$),2801.371393
Poland,POL,GDP per capita (current US$),15468.48222
Pre-demographic dividend,PRE,GDP per capita (current US$),1461.145286
Puerto Rico,PRI,GDP per capita (current US$),31604.70151
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),
Portugal,PRT,GDP per capita (current US$),23551.04829
Paraguay,PRY,GDP per capita (current US$),5782.78455
West Bank and Gaza,PSE,GDP per capita (current US$),3562.330943
Pacific island small states,PSS,GDP per capita (current US$),4340.020744
Post-demographic dividend,PST,GDP per capita (current US$),45489.66991
French Polynesia,PYF,GDP per capita (current US$),
Qatar,QAT,GDP per capita (current US$),65907.94844
Romania,ROU,GDP per capita (current US$),12398.98198
Russian Federation,RUS,GDP per capita (current US$),11287.35528
Rwanda,RWA,GDP per capita (current US$),783.6371628
South Asia,SAS,GDP per capita (current US$),1894.008884
Saudi Arabia,SAU,GDP per capita (current US$),23337.01755
Sudan,SDN,GDP per capita (current US$),825.8689411
Senegal,SEN,GDP per capita (current US$),1458.069093
Singapore,SGP,GDP per capita (current US$),66679.04649
